artist_name,track_title,entry_date,stream_duration_ms,product_type,ip_address,client_name_from_session,country_name,region_name,city_name,postal_code,time_zone
"Tyler, The Creator",SORRY NOT SORRY,2023-04-19 03:50:52.307000+00:00,206000.0,TRACK,85.145.224.86,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Brabant,Eindhoven,5632,Europe/Amsterdam
"Tyler, The Creator",HEAVEN TO ME,2023-04-19 04:45:54.392000+00:00,3000.0,TRACK,85.145.224.86,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Brabant,Eindhoven,5632,Europe/Amsterdam
"Tyler, The Creator",DOGTOOTH,2023-04-19 04:45:57.385000+00:00,5000.0,TRACK,85.145.224.86,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Brabant,Eindhoven,5632,Europe/Amsterdam
"Tyler, The Creator feat. A$AP Rocky",WHARF TALK (feat. A$AP Rocky),2023-04-19 04:46:02.352000+00:00,204000.0,TRACK,85.145.224.86,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Brabant,Eindhoven,5632,Europe/Amsterdam
"Tyler, The Creator",DOGTOOTH,2023-04-19 04:52:09.687000+00:00,161000.0,TRACK,77.63.90.232,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Holland,Amsterdam,1017,Europe/Amsterdam
"Tyler, The Creator",HEAVEN TO ME,2023-04-19 04:55:33.343000+00:00,231000.0,TRACK,77.63.90.232,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Holland,Amsterdam,1017,Europe/Amsterdam
"DJ Drama featuring Tyler, The Creator",Legendary,2023-04-19 05:02:05.118000+00:00,2000.0,TRACK,77.63.90.232,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Holland,Amsterdam,1017,Europe/Amsterdam
Larry June & The Alchemist (feat. Ty Dolla $ign),Summer Reign,2023-04-19 05:02:07.267000+00:00,16000.0,TRACK,77.63.90.232,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Holland,Amsterdam,1017,Europe/Amsterdam
Baby Keem & Kendrick Lamar,family ties,2023-04-19 05:02:23.019000+00:00,10000.0,TRACK,77.63.90.232,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Holland,Amsterdam,1017,Europe/Amsterdam
Kendrick Lamar,Rigamortus,2023-04-19 05:02:33.208000+00:00,140000.0,TRACK,77.63.90.232,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Holland,Amsterdam,1017,Europe/Amsterdam
Kendrick Lamar,Rigamortus,2023-04-19 05:04:53.244000+00:00,169000.0,TRACK,77.63.90.232,TIDAL_iOS_2.50.0_BOOMBOX,Netherlands,North Holland,Amsterdam,1017,Europe/Amsterdam
